Longitude	Latitude	Elevation (m)
-93.692	4.751	-3460.0
-93.859	4.706	-3332.0
-94.134	4.643	-3464.0
-94.428	4.585	-3466.0
-94.607	4.496	-3603.0
-94.946	4.388	-3615.0
-95.118	4.343	-3647.0
-95.310	4.260	-3621.0
-95.547	4.177	-3548.0
-95.732	4.139	-3497.0
-95.905	4.011	-3507.0
-96.097	3.871	-3525.0
-96.270	3.750	-3577.0
-96.551	3.673	-3534.0
-96.788	3.635	-3445.0
-97.101	3.577	-3472.0
-97.319	3.539	-3484.25
-97.504	3.494	-3533.3125
-97.734	3.456	-3648.0
-97.862	3.456	-3530.0
-98.080	3.456	-3620.5
-98.374	3.456	-3576.0
-98.770	3.456	-3862.0
-99.148	3.379	-3535.3125
-99.403	3.296	-3414.0
-99.608	3.207	-3345.75
-100.005	3.092	-3532.6875
-100.318	2.964	-3496.0
-100.644	2.901	-3775.4375
-100.766	2.862	-3339.625
-101.271	2.817	-3403.0
-101.476	2.734	-3445.0
-101.699	2.645	-3350.0
-101.974	2.619	-3278.0
-102.122	2.613	-3141.0
-102.569	2.562	-3295.0
-102.953	2.568	-3346.0
-108.619	2.511	-3701.5586
