Longitude	Latitude	Elevation (m)
-101.854	-10.485	-4431.0
-102.278	-10.378	-4445.0
-102.511	-10.296	-4224.922
-103.002	-10.125	-4227.7266
-103.584	-9.936	-3825.0
-104.091	-9.838	-3643.6172
-105.047	-9.674	-3936.1875
-105.588	-9.617	-3412.0
-105.979	-9.567	-3508.25
-106.311	-9.551	-3255.25
-106.893	-9.502	-3527.3125
-107.276	-9.403	-3163.0
-107.509	-9.346	-3252.0
-107.941	-9.264	-3327.0
-108.249	-9.174	-3229.0
-108.423	-9.116	-3126.0
-108.781	-8.993	-3158.0
-109.030	-8.886	-3096.0
-109.230	-8.722	-3320.0
-109.380	-8.656	-3239.0
-109.637	-8.541	-3161.0
-109.837	-8.450	-3298.0
-110.103	-8.376	-3247.0
-110.294	-8.269	-3329.8125
-110.627	-8.195	-3388.0
-111.143	-8.047	-2689.0
-111.409	-7.998	-3469.1875
-111.716	-7.915	-3398.0
-112.157	-7.767	-3719.0
-112.706	-7.602	-
-113.213	-7.454	-
