chron	top	base
C1n	0	0.781
C1r.1r	0.781	0.988
C1r.1n	0.988	1.072
C1r.2r	1.072	1.173
C1r.2n	1.173	1.185
C1r.3r	1.185	1.778
C2n	1.778	1.945
C2r.1r	1.945	2.128
C2r.1n	2.128	2.148
C2r.2r	2.148	2.581
C2An.1n	2.581	3.032
C2An.1r	3.032	3.116
C2An.2n	3.116	3.207
C2An.2r	3.207	3.33
C2An.3n	3.33	3.596
C2Ar	3.596	4.187
C3n.1n	4.187	4.3
C3n.1r	4.3	4.493
C3n.2n	4.493	4.631
C3n.2r	4.631	4.799
C3n.3n	4.799	4.896
C3n.3r	4.896	4.997
C3n.4n	4.997	5.235
C3r	5.235	6.033
C3An.1n	6.033	6.252
C3An.1r	6.252	6.436
C3An.2n	6.436	6.733
C3Ar	6.733	7.14
C3Bn	7.14	7.212
C3Br.1r	7.212	7.251
C3Br.1n	7.251	7.285
C3Br.2r	7.285	7.454
C3Br.2n	7.454	7.489
C3Br.3r	7.489	7.528
C4n.1n	7.528	7.642
C4n.1r	7.642	7.695
C4n.2n	7.695	8.108
C4r.1r	8.108	8.254
C4r.1n	8.254	8.3
C4r.2r	8.3	8.771
C4An	8.771	9.105
C4Ar.1r	9.105	9.311
C4Ar.1n	9.311	9.426
C4Ar.2r	9.426	9.647
C4Ar.2n	9.647	9.721
C4Ar.3r	9.721	9.786
C5n.1n	9.786	9.937
C5n.1r	9.937	9.984
C5n.2n	9.984	11.056
C5r.1r	11.056	11.146
C5r.1n	11.146	11.188
C5r.2r	11.188	11.592
C5r.2n	11.592	11.657
C5r.3r	11.657	12.049
C5An.1n	12.049	12.174
C5An.1r	12.174	12.272
C5An.2n	12.272	12.474
C5Ar.1r	12.474	12.735
C5Ar.1n	12.735	12.77
C5Ar.2r	12.77	12.829
C5Ar.2n	12.829	12.887
C5Ar.3r	12.887	13.032
C5AAn	13.032	13.183
C5AAr	13.183	13.363
C5ABn	13.363	13.608
C5ABr	13.608	13.739
C5ACn	13.739	14.07
C5ACr	14.07	14.163
C5ADn	14.163	14.609
C5ADr	14.609	14.775
C5Bn.1n	14.775	14.87
C5Bn.1r	14.87	15.032
C5Bn.2n	15.032	15.16
C5Br	15.16	15.974
C5Cn.1n	15.974	16.268
C5Cn.1r	16.268	16.303
C5Cn.2n	16.303	16.472
C5Cn.2r	16.472	16.543
C5Cn.3n	16.543	16.721
C5Cr	16.721	17.235
C5Dn	17.235	17.533
C5Dr.1r	17.533	17.717
C5Dr.1n	17.717	17.74
C5Dr.2r	17.74	18.056
C5En	18.056	18.524
C5Er	18.524	18.748
C6n	18.748	19.722
C6r	19.722	20.04
C6An.1n	20.04	20.213
C6An.1r	20.213	20.439
C6An.2n	20.439	20.709
C6Ar	20.709	21.083
C6AAn	21.083	21.159
C6AAr.1r	21.159	21.403
C6AAr.1n	21.403	21.483
C6AAr.2r	21.483	21.659
C6AAr.2n	21.659	21.688
C6AAr.3r	21.688	21.767
C6Bn.1n	21.767	21.936
C6Bn.1r	21.936	21.992
C6Bn.2n	21.992	22.268
C6Br	22.268	22.564
C6Cn.1n	22.564	22.754
C6Cn.1r	22.754	22.902
C6Cn.2n	22.902	23.03
C6Cn.2r	23.03	23.233
C6Cn.3n	23.233	23.295
C6Cr	23.295	23.962
C7n.1n	23.962	24
C7n.1r	24	24.109
C7n.2n	24.109	24.474
C7r	24.474	24.761
C7An	24.761	24.984
C7Ar	24.984	25.099
C8n.1n	25.099	25.264
C8n.1r	25.264	25.304
C8n.2n	25.304	25.987
C8r	25.987	26.42
C9n	26.42	27.439
C9r	27.439	27.859
C10n.1n	27.859	28.087
C10n.1r	28.087	28.141
C10n.2n	28.141	28.278
C10r	28.278	29.183
C11n.1n	29.183	29.477
C11n.1r	29.477	29.527
C11n.2n	29.527	29.97
C11r	29.97	30.591
C12n	30.591	31.034
C12r	31.034	33.157
C13n	33.157	33.705
C13r	33.705	34.999
C15n	34.999	35.294
C15r	35.294	35.706
C16n.1n	35.706	35.892
C16n.1r	35.892	36.051
C16n.2n	36.051	36.7
C16r	36.7	36.969
C17n.1n	36.969	37.753
C17n.1r	37.753	37.872
C17n.2n	37.872	38.093
C17n.2r	38.093	38.159
C17n.3n	38.159	38.333
C17r	38.333	38.615
C18n.1n	38.615	39.627
C18n.1r	39.627	39.698
C18n.2n	39.698	40.145
C18r	40.145	41.154
C19n	41.154	41.39
C19r	41.39	42.301
C20n	42.301	43.432
C20r	43.432	45.724
C21n	45.724	47.349
C21r	47.349	48.566
C22n	48.566	49.344
C22r	49.344	50.628
C23n.1n	50.628	50.835
C23n.1r	50.835	50.961
C23n.2n	50.961	51.833
C23r	51.833	52.62
C24n.1n	52.62	53.074
C24n.1r	53.074	53.199
C24n.2n	53.199	53.274
C24n.2r	53.274	53.416
C24n.3n	53.416	53.983
C24r	53.983	57.101
C25n	57.101	57.656
C25r	57.656	58.959
C26n	58.959	59.237
C26r	59.237	62.221
C27n	62.221	62.517
C27r	62.517	63.494
C28n	63.494	64.667
C28r	64.667	64.958
C29n	64.958	65.688
C29r	65.688	66.398
C30n	66.398	68.196
C30r	68.196	68.369
C31n	68.369	69.269
C31r	69.269	71.449
C32n.1n	71.449	71.689
C32n.1r	71.689	71.939
C32n.2n	71.939	73.649
C32r.1r	73.649	73.949
C32r.1n	73.949	74.049
C32r.2r	74.049	74.309
C33n	74.309	79.9
C33r	79.9	83.64
C34n	83.64	125.93
M0r	125.93	126.01

